,true_category,predicted_categorys
49935,26,4
71684,4,4
69606,16,4
105408,6,4
120985,4,11
93599,0,10
8525,12,4
4472,4,4
33964,4,4
38849,9,9
112922,12,4
14185,4,4
78447,26,3
9991,4,4
121140,25,15
12742,1,1
6552,1,1
91739,19,25
36234,11,4
66832,17,7
77617,7,7
59073,4,13
49450,1,6
49551,4,13
114583,3,26
10890,4,4
94137,30,22
51019,13,13
41383,4,4
104210,15,20
52304,4,4
122726,28,4
93577,1,1
64620,25,24
114142,25,7
9518,1,7
10825,4,4
88392,25,7
105578,7,20
55738,9,9
12804,15,15
113919,6,4
10912,4,4
35926,26,4
73712,19,10
92824,4,4
99465,25,25
14224,1,1
65127,4,4
59128,6,1
102319,6,6
97121,4,4
100671,30,20
105189,20,20
110228,4,4
82577,27,25
103034,1,1
23817,1,8
28710,26,4
39693,10,10
22422,4,4
57507,20,20
64271,5,1
51228,4,4
81248,6,1
10064,4,4
46719,4,0
79705,26,26
29525,22,11
8875,2,4
108692,0,6
83451,4,4
95580,11,11
54172,4,6
8760,11,4
93514,25,4
76800,4,4
85881,4,4
83209,4,4
20362,4,4
2893,1,1
103735,8,8
8703,2,4
99903,11,11
550,1,1
5059,2,26
6184,1,1
21138,25,25
28078,4,4
101421,11,11
78392,4,4
80962,6,1
67972,5,27
36990,26,26
55053,12,7
43029,4,1
21142,4,4
8286,3,7
73395,4,1
4906,1,1
81819,10,10
86212,22,11
112179,3,1
69175,4,4
123918,25,25
86960,11,11
69553,4,4
97234,10,1
83929,4,4
3509,1,7
3923,4,4
8917,10,4
17444,4,4
55216,1,1
19915,4,9
110619,18,3
18159,11,9
5979,2,13
52456,6,0
61214,1,4
58463,4,4
84969,1,1
2037,13,13
50410,7,10
39780,4,6
109719,1,4
81510,22,1
40930,4,4
19957,4,1
93241,18,3
118300,8,11
108555,13,4
100238,4,9
75941,1,1
99039,12,11
22192,1,13
88923,4,4
97067,25,25
52583,11,25
96358,4,4
81373,1,1
33347,25,25
77689,1,1
18321,0,0
77507,6,1
25543,4,4
7863,1,1
78925,5,1
90796,4,4
92517,1,20
7132,15,15
123177,1,1
84206,10,1
82878,1,1
17613,25,23
57341,4,4
106222,6,25
42263,9,9
121287,23,23
87334,25,25
25689,25,25
117741,3,25
52315,0,0
103541,9,4
5884,5,4
82376,4,4
11168,6,20
31467,4,4
106330,10,7
113142,15,15
95034,4,4
101571,22,1
91397,24,25
90929,29,7
66694,23,27
29170,1,1
7168,4,4
114888,4,4
122204,1,1
3733,4,4
57892,5,25
90044,3,4
29626,4,4
94532,19,7
20717,24,20
101836,4,4
108270,25,0
68583,4,4
118284,29,7
15663,15,15
113625,20,25
108387,11,28
62764,15,15
44422,4,4
78400,1,1
114984,18,25
81794,13,13
61043,11,25
16598,4,4
118419,4,4
24147,21,1
40386,4,4
10644,8,10
33168,4,4
378,8,8
61183,18,3
28072,20,3
18881,1,1
87147,8,4
40997,20,20
41390,4,4
57319,4,4
6848,20,20
61688,4,3
120672,4,4
970,4,4
36298,11,11
93212,4,4
8350,1,1
14657,1,20
58733,4,4
56897,4,4
33222,1,1
3903,7,6
113818,20,25
28406,25,25
2040,4,4
96508,10,13
75844,19,6
121175,1,1
68287,1,6
81194,16,16
29246,9,4
92232,9,9
69629,8,8
57156,4,4
76410,14,11
2029,4,4
69293,1,1
113897,10,10
23850,4,4
23623,2,9
87257,10,10
20248,4,4
91089,13,4
34194,20,20
38974,1,1
14843,4,4
55497,1,1
48549,26,26
46704,26,26
15435,8,1
109889,4,4
57831,12,11
39930,5,5
107713,3,7
16133,4,4
60812,7,20
41422,4,4
28951,1,1
103213,11,11
19626,9,4
45690,20,1
16680,7,4
47134,28,4
119930,4,4
122492,4,4
6448,6,6
112981,1,7
4790,4,4
50347,4,1
33018,4,4
68123,25,4
77825,15,15
103840,18,3
58356,22,25
72895,4,26
55887,26,26
60017,5,5
107993,5,25
107768,4,4
65530,4,30
11987,24,24
28864,4,4
101107,30,20
88781,6,3
112344,4,23
73441,24,1
82252,16,25
120466,16,16
59769,4,4
59958,12,4
39554,18,25
18154,7,11
56771,13,10
71098,26,28
111189,1,1
74521,4,4
6098,10,10
109841,4,4
109862,25,6
2110,13,4
35264,0,1
85458,26,26
34661,4,4
120139,28,4
43104,25,7
52240,6,6
8617,13,13
101750,1,1
58189,11,4
55513,4,4
93341,30,20
75779,1,1
53286,25,4
64909,27,0
47081,4,4
28344,13,2
60749,6,1
64526,19,4
121586,13,4
110375,8,8
21507,4,4
33286,8,4
83157,10,10
70715,4,4
55449,26,11
25763,25,25
115117,28,4
17372,2,4
18158,4,2
77987,10,1
13239,20,20
69018,13,13
39521,5,5
117132,12,11
116597,11,7
37750,1,1
119911,16,7
71307,4,4
32018,7,4
47831,1,4
120004,9,9
62407,4,4
96132,9,6
113911,29,7
5178,4,4
84252,20,20
32231,8,1
105893,28,26
317,8,1
124830,11,11
59406,4,4
7266,4,4
105027,6,6
72601,4,4
77693,3,25
87174,4,4
15842,2,3
90076,7,20
94104,4,4
112133,30,4
14221,20,30
40690,0,0
71027,23,5
95444,20,25
87523,4,4
8880,24,24
49136,25,25
24353,10,5
95216,20,9
9456,14,4
49913,4,4
14149,1,1
44575,4,4
86342,1,1
45476,21,1
98995,30,10
37616,4,4
113216,5,5
112251,4,4
34013,9,9
110294,0,4
14747,1,10
65099,1,1
14321,5,7
65187,4,4
97758,19,4
54119,4,4
78079,6,1
118114,29,24
102104,1,1
34616,1,1
29624,4,4
32594,8,1
76318,4,4
101443,25,25
102786,15,4
80881,1,25
8309,9,9
118290,24,11
51737,4,4
61460,4,4
84527,16,4
51378,10,10
100146,27,9
108985,25,25
56409,9,3
109962,4,4
33213,22,1
101508,1,1
96764,10,10
856,5,10
90965,4,4
96684,27,3
26652,26,26
114426,6,4
34806,1,1
15669,4,4
118471,4,4
16962,17,1
58664,27,0
117479,28,1
61077,4,4
76116,7,1
4577,8,1
62336,26,4
89879,18,15
48641,20,20
96128,18,27
83523,4,4
66829,4,4
97775,28,26
52244,13,4
47739,23,11
17495,6,1
102396,29,12
116010,1,6
74972,4,1
17719,20,1
8700,2,26
120554,11,4
46056,4,4
44490,20,1
35370,26,26
47676,4,8
56007,4,7
40833,4,5
113304,16,25
123795,25,25
38307,26,4
116116,15,15
84450,4,9
13951,25,3
201,4,4
69264,0,4
86073,15,4
53666,12,12
109738,29,22
29869,4,26
63808,25,25
120356,19,3
47575,1,1
4939,4,4
75097,1,6
12551,20,20
7201,4,4
85034,1,1
46885,4,4
14831,4,4
45001,16,7
92188,25,7
84299,1,1
18107,4,23
89245,7,20
127,13,8
124967,7,4
3896,4,0
40037,7,4
38103,1,1
110180,4,26
15465,4,4
53275,5,1
109140,4,4
66666,1,22
102590,30,30
106007,11,11
43272,20,4
34953,4,4
3064,4,1
83894,0,0
107826,11,25
100730,11,28
103122,27,3
9590,4,4
57068,4,4
111219,28,4
44114,9,9
63764,5,4
124096,25,7
45088,1,4
51768,4,4
29474,4,4
65173,4,4
56595,5,9
31462,18,4
6980,7,7
