,true_category,predicted_category
49935,26,4
71684,4,4
69606,16,4
105408,6,4
120985,4,4
93599,0,1
8525,12,4
4472,4,4
33964,4,4
38849,9,4
112922,12,4
14185,4,4
78447,26,4
9991,4,4
121140,25,4
12742,1,1
6552,1,1
91739,19,4
36234,11,4
66832,17,4
77617,7,4
59073,4,4
49450,1,4
49551,4,4
114583,3,4
10890,4,4
94137,30,1
51019,13,4
41383,4,4
104210,15,4
52304,4,4
122726,28,4
93577,1,1
64620,25,4
114142,25,4
9518,1,4
10825,4,4
88392,25,4
105578,7,4
55738,9,4
12804,15,4
113919,6,4
10912,4,4
35926,26,4
73712,19,4
92824,4,4
99465,25,4
14224,1,1
65127,4,4
59128,6,1
102319,6,4
97121,4,4
100671,30,4
105189,20,1
110228,4,4
82577,27,4
103034,1,4
23817,1,4
28710,26,4
39693,10,4
22422,4,4
57507,20,4
64271,5,1
51228,4,4
81248,6,1
10064,4,4
46719,4,4
79705,26,4
29525,22,4
8875,2,4
108692,0,4
83451,4,4
95580,11,4
54172,4,4
8760,11,4
93514,25,4
76800,4,4
85881,4,4
83209,4,4
20362,4,4
2893,1,1
103735,8,4
8703,2,4
99903,11,4
550,1,1
5059,2,4
6184,1,4
21138,25,4
28078,4,4
101421,11,4
78392,4,4
80962,6,4
67972,5,4
36990,26,4
55053,12,4
43029,4,4
21142,4,4
8286,3,4
73395,4,4
4906,1,4
81819,10,1
86212,22,4
112179,3,4
69175,4,4
123918,25,4
86960,11,4
69553,4,4
97234,10,4
83929,4,4
3509,1,1
3923,4,4
8917,10,4
17444,4,4
55216,1,1
19915,4,4
110619,18,4
18159,11,4
5979,2,1
52456,6,4
61214,1,4
58463,4,4
84969,1,1
2037,13,4
50410,7,4
39780,4,4
109719,1,4
81510,22,1
40930,4,4
19957,4,4
93241,18,4
118300,8,4
108555,13,4
100238,4,4
75941,1,4
99039,12,4
22192,1,4
88923,4,4
97067,25,4
52583,11,4
96358,4,4
81373,1,1
33347,25,4
77689,1,1
18321,0,4
77507,6,1
25543,4,4
7863,1,1
78925,5,4
90796,4,4
92517,1,4
7132,15,4
123177,1,1
84206,10,1
82878,1,4
17613,25,4
57341,4,4
106222,6,4
42263,9,4
121287,23,4
87334,25,25
25689,25,4
117741,3,4
52315,0,4
103541,9,4
5884,5,4
82376,4,4
11168,6,4
31467,4,4
106330,10,4
113142,15,4
95034,4,4
101571,22,4
91397,24,4
90929,29,4
66694,23,4
29170,1,4
7168,4,4
114888,4,4
122204,1,1
3733,4,4
57892,5,4
90044,3,4
29626,4,4
94532,19,4
20717,24,1
101836,4,4
108270,25,4
68583,4,4
118284,29,1
15663,15,4
113625,20,4
108387,11,4
62764,15,4
44422,4,4
78400,1,1
114984,18,4
81794,13,4
61043,11,4
16598,4,4
118419,4,4
24147,21,4
40386,4,4
10644,8,4
33168,4,4
378,8,4
61183,18,4
28072,20,4
18881,1,4
87147,8,4
40997,20,20
41390,4,4
57319,4,4
6848,20,4
61688,4,4
120672,4,4
970,4,4
36298,11,4
93212,4,4
8350,1,1
14657,1,4
58733,4,4
56897,4,4
33222,1,1
3903,7,1
113818,20,4
28406,25,4
2040,4,4
96508,10,4
75844,19,4
121175,1,1
68287,1,1
81194,16,4
29246,9,4
92232,9,4
69629,8,4
57156,4,4
76410,14,4
2029,4,4
69293,1,1
113897,10,1
23850,4,4
23623,2,4
87257,10,4
20248,4,4
91089,13,4
34194,20,1
38974,1,1
14843,4,4
55497,1,1
48549,26,4
46704,26,4
15435,8,4
109889,4,4
57831,12,4
39930,5,1
107713,3,4
16133,4,4
60812,7,4
41422,4,4
28951,1,1
103213,11,4
19626,9,4
45690,20,1
16680,7,4
47134,28,4
119930,4,4
122492,4,4
6448,6,4
112981,1,1
4790,4,4
50347,4,4
33018,4,4
68123,25,4
77825,15,4
103840,18,4
58356,22,4
72895,4,4
55887,26,4
60017,5,4
107993,5,4
107768,4,4
65530,4,4
11987,24,4
28864,4,4
101107,30,1
88781,6,4
112344,4,4
73441,24,1
82252,16,4
120466,16,1
59769,4,4
59958,12,4
39554,18,4
18154,7,4
56771,13,4
71098,26,4
111189,1,1
74521,4,4
6098,10,4
109841,4,4
109862,25,4
2110,13,4
35264,0,4
85458,26,4
34661,4,4
120139,28,4
43104,25,4
52240,6,4
8617,13,4
101750,1,1
58189,11,4
55513,4,4
93341,30,4
75779,1,1
53286,25,4
64909,27,4
47081,4,4
28344,13,4
60749,6,1
64526,19,4
121586,13,4
110375,8,1
21507,4,4
33286,8,4
83157,10,4
70715,4,4
55449,26,4
25763,25,25
115117,28,4
17372,2,4
18158,4,4
77987,10,1
13239,20,4
69018,13,4
39521,5,4
117132,12,4
116597,11,4
37750,1,1
119911,16,4
71307,4,4
32018,7,4
47831,1,4
120004,9,4
62407,4,4
96132,9,4
113911,29,4
5178,4,4
84252,20,4
32231,8,4
105893,28,4
317,8,1
124830,11,4
59406,4,4
7266,4,4
105027,6,4
72601,4,4
77693,3,4
87174,4,4
15842,2,4
90076,7,4
94104,4,4
112133,30,4
14221,20,4
40690,0,4
71027,23,4
95444,20,25
87523,4,4
8880,24,1
49136,25,4
24353,10,4
95216,20,4
9456,14,4
49913,4,4
14149,1,1
44575,4,4
86342,1,1
45476,21,1
98995,30,4
37616,4,4
113216,5,1
112251,4,4
34013,9,1
110294,0,4
14747,1,1
65099,1,4
14321,5,4
65187,4,4
97758,19,4
54119,4,4
78079,6,4
118114,29,4
102104,1,1
34616,1,4
29624,4,4
32594,8,4
76318,4,4
101443,25,4
102786,15,4
80881,1,4
8309,9,4
118290,24,4
51737,4,4
61460,4,4
84527,16,4
51378,10,4
100146,27,4
108985,25,4
56409,9,4
109962,4,4
33213,22,1
101508,1,1
96764,10,4
856,5,4
90965,4,4
96684,27,4
26652,26,4
114426,6,4
34806,1,4
15669,4,4
118471,4,4
16962,17,4
58664,27,4
117479,28,4
61077,4,4
76116,7,4
4577,8,4
62336,26,4
89879,18,4
48641,20,4
96128,18,4
83523,4,4
66829,4,4
97775,28,4
52244,13,4
47739,23,4
17495,6,4
102396,29,4
116010,1,1
74972,4,4
17719,20,1
8700,2,4
120554,11,4
46056,4,4
44490,20,4
35370,26,4
47676,4,4
56007,4,4
40833,4,4
113304,16,4
123795,25,4
38307,26,4
116116,15,4
84450,4,4
13951,25,4
201,4,4
69264,0,4
86073,15,4
53666,12,4
109738,29,4
29869,4,4
63808,25,4
120356,19,4
47575,1,1
4939,4,4
75097,1,1
12551,20,4
7201,4,4
85034,1,1
46885,4,4
14831,4,4
45001,16,4
92188,25,4
84299,1,1
18107,4,4
89245,7,4
127,13,4
124967,7,4
3896,4,4
40037,7,4
38103,1,1
110180,4,4
15465,4,4
53275,5,4
109140,4,4
66666,1,1
102590,30,4
106007,11,4
43272,20,4
34953,4,4
3064,4,4
83894,0,4
107826,11,4
100730,11,4
103122,27,4
9590,4,4
57068,4,4
111219,28,4
44114,9,4
63764,5,4
124096,25,4
45088,1,4
51768,4,4
29474,4,4
65173,4,4
56595,5,1
31462,18,4
6980,7,4
