,true_category,predicted_category
49935,26,4
71684,4,4
69606,16,16
105408,6,6
120985,4,4
93599,0,10
8525,12,12
4472,4,4
33964,4,4
38849,9,9
112922,12,12
14185,4,4
78447,26,26
9991,4,4
121140,25,15
12742,1,1
6552,1,1
91739,19,19
36234,11,11
66832,17,17
77617,7,7
59073,4,13
49450,1,6
49551,4,4
114583,3,3
10890,4,4
94137,30,30
51019,13,13
41383,4,4
104210,15,15
52304,4,4
122726,28,28
93577,1,1
64620,25,24
114142,25,25
9518,1,1
10825,4,4
88392,25,25
105578,7,7
55738,9,9
12804,15,15
113919,6,6
10912,4,4
35926,26,26
73712,19,19
92824,4,4
99465,25,25
14224,1,1
65127,4,4
59128,6,6
102319,6,6
97121,4,4
100671,30,30
105189,20,20
110228,4,4
82577,27,27
103034,1,1
23817,1,8
28710,26,26
39693,10,10
22422,4,4
57507,20,20
64271,5,5
51228,4,4
81248,6,6
10064,4,4
46719,4,0
79705,26,26
29525,22,22
8875,2,2
108692,0,0
83451,4,4
95580,11,4
54172,4,6
8760,11,11
93514,25,25
76800,4,4
85881,4,4
83209,4,4
20362,4,4
2893,1,1
103735,8,8
8703,2,4
99903,11,11
550,1,1
5059,2,2
6184,1,1
21138,25,25
28078,4,4
101421,11,11
78392,4,4
80962,6,6
67972,5,5
36990,26,26
55053,12,12
43029,4,4
21142,4,4
8286,3,3
73395,4,4
4906,1,1
81819,10,10
86212,22,22
112179,3,3
69175,4,4
123918,25,25
86960,11,11
69553,4,4
97234,10,10
83929,4,4
3509,1,1
3923,4,4
8917,10,4
17444,4,4
55216,1,1
19915,4,11
110619,18,18
18159,11,4
5979,2,2
52456,6,6
61214,1,4
58463,4,4
84969,1,1
2037,13,13
50410,7,7
39780,4,4
109719,1,1
81510,22,1
40930,4,4
19957,4,1
93241,18,18
118300,8,8
108555,13,1
100238,4,9
75941,1,1
99039,12,12
22192,1,1
88923,4,4
97067,25,25
52583,11,11
96358,4,4
81373,1,1
33347,25,25
77689,1,1
18321,0,0
77507,6,6
25543,4,4
7863,1,1
78925,5,5
90796,4,4
92517,1,1
7132,15,15
123177,1,1
84206,10,10
82878,1,1
17613,25,25
57341,4,4
106222,6,6
42263,9,9
121287,23,23
87334,25,25
25689,25,25
117741,3,4
52315,0,0
103541,9,4
5884,5,4
82376,4,4
11168,6,6
31467,4,4
106330,10,10
113142,15,15
95034,4,4
101571,22,22
91397,24,24
90929,29,29
66694,23,23
29170,1,1
7168,4,4
114888,4,4
122204,1,1
3733,4,4
57892,5,5
90044,3,3
29626,4,4
94532,19,7
20717,24,24
101836,4,4
108270,25,25
68583,4,4
118284,29,29
15663,15,15
113625,20,20
108387,11,11
62764,15,15
44422,4,4
78400,1,1
114984,18,18
81794,13,13
61043,11,23
16598,4,4
118419,4,4
24147,21,21
40386,4,4
10644,8,8
33168,4,4
378,8,8
61183,18,18
28072,20,20
18881,1,1
87147,8,8
40997,20,20
41390,4,4
57319,4,4
6848,20,20
61688,4,4
120672,4,4
970,4,4
36298,11,11
93212,4,4
8350,1,1
14657,1,1
58733,4,4
56897,4,4
33222,1,1
3903,7,7
113818,20,20
28406,25,25
2040,4,4
96508,10,10
75844,19,19
121175,1,1
68287,1,1
81194,16,16
29246,9,9
92232,9,9
69629,8,8
57156,4,4
76410,14,14
2029,4,4
69293,1,1
113897,10,10
23850,4,4
23623,2,0
87257,10,10
20248,4,4
91089,13,4
34194,20,20
38974,1,1
14843,4,4
55497,1,1
48549,26,26
46704,26,26
15435,8,8
109889,4,4
57831,12,12
39930,5,5
107713,3,3
16133,4,4
60812,7,7
41422,4,4
28951,1,1
103213,11,11
19626,9,4
45690,20,20
16680,7,4
47134,28,28
119930,4,4
122492,4,4
6448,6,6
112981,1,1
4790,4,4
50347,4,25
33018,4,4
68123,25,4
77825,15,15
103840,18,18
58356,22,22
72895,4,26
55887,26,26
60017,5,5
107993,5,5
107768,4,4
65530,4,4
11987,24,24
28864,4,4
101107,30,30
88781,6,6
112344,4,4
73441,24,24
82252,16,25
120466,16,16
59769,4,4
59958,12,12
39554,18,18
18154,7,7
56771,13,13
71098,26,26
111189,1,1
74521,4,4
6098,10,10
109841,4,4
109862,25,4
2110,13,4
35264,0,0
85458,26,26
34661,4,4
120139,28,28
43104,25,25
52240,6,6
8617,13,13
101750,1,1
58189,11,4
55513,4,4
93341,30,30
75779,1,1
53286,25,25
64909,27,27
47081,4,4
28344,13,4
60749,6,6
64526,19,19
121586,13,13
110375,8,8
21507,4,4
33286,8,8
83157,10,10
70715,4,4
55449,26,26
25763,25,25
115117,28,28
17372,2,4
18158,4,4
77987,10,10
13239,20,20
69018,13,13
39521,5,5
117132,12,12
116597,11,7
37750,1,1
119911,16,16
71307,4,4
32018,7,4
47831,1,1
120004,9,9
62407,4,4
96132,9,9
113911,29,29
5178,4,4
84252,20,20
32231,8,8
105893,28,26
317,8,8
124830,11,11
59406,4,4
7266,4,4
105027,6,6
72601,4,4
77693,3,3
87174,4,4
15842,2,2
90076,7,7
94104,4,4
112133,30,30
14221,20,20
40690,0,0
71027,23,23
95444,20,20
87523,4,4
8880,24,24
49136,25,25
24353,10,10
95216,20,20
9456,14,4
49913,4,4
14149,1,1
44575,4,4
86342,1,1
45476,21,21
98995,30,30
37616,4,4
113216,5,5
112251,4,4
34013,9,9
110294,0,4
14747,1,1
65099,1,1
14321,5,5
65187,4,4
97758,19,19
54119,4,4
78079,6,6
118114,29,24
102104,1,1
34616,1,8
29624,4,4
32594,8,8
76318,4,4
101443,25,25
102786,15,15
80881,1,1
8309,9,9
118290,24,24
51737,4,4
61460,4,4
84527,16,16
51378,10,10
100146,27,27
108985,25,25
56409,9,9
109962,4,4
33213,22,22
101508,1,1
96764,10,10
856,5,5
90965,4,4
96684,27,27
26652,26,26
114426,6,4
34806,1,1
15669,4,4
118471,4,4
16962,17,17
58664,27,27
117479,28,28
61077,4,4
76116,7,7
4577,8,8
62336,26,26
89879,18,18
48641,20,20
96128,18,18
83523,4,4
66829,4,4
97775,28,28
52244,13,4
47739,23,23
17495,6,6
102396,29,29
116010,1,1
74972,4,1
17719,20,20
8700,2,2
120554,11,11
46056,4,4
44490,20,20
35370,26,26
47676,4,8
56007,4,4
40833,4,10
113304,16,16
123795,25,25
38307,26,26
116116,15,15
84450,4,4
13951,25,25
201,4,4
69264,0,0
86073,15,15
53666,12,12
109738,29,29
29869,4,26
63808,25,25
120356,19,19
47575,1,1
4939,4,4
75097,1,1
12551,20,20
7201,4,4
85034,1,1
46885,4,4
14831,4,4
45001,16,16
92188,25,25
84299,1,1
18107,4,4
89245,7,20
127,13,13
124967,7,7
3896,4,4
40037,7,4
38103,1,1
110180,4,4
15465,4,4
53275,5,5
109140,4,4
66666,1,1
102590,30,30
106007,11,11
43272,20,20
34953,4,4
3064,4,4
83894,0,0
107826,11,11
100730,11,11
103122,27,27
9590,4,4
57068,4,4
111219,28,4
44114,9,9
63764,5,5
124096,25,25
45088,1,1
51768,4,4
29474,4,4
65173,4,4
56595,5,5
31462,18,18
6980,7,7
